nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,2025-06-30T11:45:55Z,22,Python,660,853,10,57926
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2025-08-13T05:58:41Z,0,Shell,2306,66,206,57837
gorhill/uBlock,2015-04-01T17:51:11Z,2025-08-18T13:40:32Z,277,JavaScript,252,3432,13,57749
FuelLabs/fuel-core,2020-08-27T21:12:14Z,2025-08-15T12:16:46Z,123,Rust,1553,970,142,57537
rails/rails,2008-04-11T02:19:47Z,2025-08-18T08:53:07Z,149,Ruby,25146,17713,479,57294
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2025-08-01T07:44:25Z,34,JavaScript,790,1346,8,57118
Solido/awesome-flutter,2017-05-07T11:45:27Z,2025-07-20T21:50:22Z,0,Dart,444,0,0,56878
nocodb/nocodb,2017-10-29T18:51:48Z,2025-08-18T12:47:19Z,174,TypeScript,5268,3605,628,56494
zylon-ai/private-gpt,2023-05-02T09:15:31Z,2024-11-13T19:30:32Z,10,Python,224,961,252,56470
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2024-06-26T12:10:14Z,0,JavaScript,302,81,110,56457
hiyouga/LLaMA-Factory,2023-05-28T10:09:12Z,2025-08-18T10:22:47Z,34,Python,686,6727,580,56352
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2025-07-23T09:09:44Z,159,JavaScript,20,1570,63,56352
soimort/you-get,2012-08-20T15:53:36Z,2025-04-27T15:33:25Z,123,Python,582,0,0,56338
FiloSottile/mkcert,2018-06-25T05:33:03Z,2024-08-13T13:37:46Z,14,Go,52,239,105,56118
traefik/traefik,2015-09-13T19:04:02Z,2025-08-13T08:30:07Z,481,Go,4697,5706,642,56113
git/git,2008-07-23T14:21:26Z,2025-08-17T23:09:34Z,0,C,3,0,0,56078
gatsbyjs/gatsby,2015-05-21T22:43:05Z,2025-08-18T13:32:42Z,149,JavaScript,18183,13901,218,55917
commaai/openpilot,2016-11-24T01:33:30Z,2025-08-18T14:07:51Z,57,Python,11756,2928,127,55828
vllm-project/vllm,2023-02-09T11:23:20Z,2025-08-18T13:35:48Z,72,Python,8586,8442,1791,55593
azl397985856/leetcode,2018-03-30T09:13:51Z,2025-07-16T09:42:17Z,40,JavaScript,257,248,9,55570
remix-run/react-router,2014-05-16T22:22:51Z,2025-08-18T14:22:50Z,310,TypeScript,3176,8036,101,55380
topjohnwu/Magisk,2016-09-08T12:42:53Z,2025-08-18T06:58:44Z,151,Kotlin,1613,6222,37,55348
ageitgey/face_recognition,2017-03-03T21:52:39Z,2024-08-21T06:22:36Z,2,Python,94,595,775,55270
ultralytics/yolov5,2020-05-18T03:45:11Z,2025-08-18T06:55:17Z,10,Python,2206,9173,257,55036
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,2025-05-30T11:41:05Z,0,Python,48,896,205,54873
AntonOsika/gpt-engineer,2023-04-29T12:52:15Z,2025-05-14T10:15:10Z,20,Python,350,470,31,54728
minio/minio,2015-01-14T19:23:58Z,2025-08-12T18:22:12Z,519,Go,9853,7771,36,54647
BurntSushi/ripgrep,2016-03-11T02:02:33Z,2025-08-17T21:39:10Z,72,Rust,516,1578,131,54524
deepfakes/faceswap,2017-12-19T09:44:13Z,2025-07-11T17:20:12Z,4,Python,357,847,34,54415
toeverything/AFFiNE,2022-07-31T18:45:21Z,2025-08-18T05:35:29Z,569,TypeScript,8710,2735,269,54369
ElemeFE/element,2016-09-03T06:19:26Z,2024-08-20T07:40:13Z,145,Vue,3231,15250,2613,54241
pmndrs/zustand,2019-04-09T09:10:06Z,2025-08-09T15:04:58Z,97,TypeScript,804,688,2,54184
lencx/ChatGPT,2022-12-07T09:43:02Z,2024-08-29T17:58:11Z,34,Rust,123,361,836,54020
sharkdp/bat,2018-04-21T10:52:23Z,2025-08-16T12:49:16Z,41,Rust,1460,1189,326,53976
golang-standards/project-layout,2017-09-09T16:33:26Z,2025-01-14T03:24:13Z,0,Makefile,90,44,68,53506
necolas/normalize.css,2011-05-04T10:20:25Z,2024-06-12T20:36:06Z,0,CSS,56,461,56,53355
Textualize/rich,2019-11-10T15:28:09Z,2025-08-13T10:52:09Z,170,Python,836,1223,207,53348
Z4nzu/hackingtool,2020-04-11T09:21:31Z,2025-03-03T15:17:19Z,0,Python,56,321,52,53292
psf/requests,2011-02-13T18:38:17Z,2025-08-17T16:30:16Z,13,Python,1590,3860,198,53184
maybe-finance/maybe,2024-01-01T22:23:46Z,2025-07-24T22:20:44Z,28,Ruby,1073,0,0,53081
pi-hole/pi-hole,2014-06-08T15:02:55Z,2025-08-16T19:02:44Z,118,Shell,2106,3043,37,52972
withastro/astro,2021-03-15T17:19:47Z,2025-08-18T14:17:32Z,1000,TypeScript,7315,5400,158,52894
meilisearch/meilisearch,2018-04-23T11:45:28Z,2025-08-18T14:22:30Z,266,Rust,2146,2095,210,52798
PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,2025-08-18T02:41:01Z,23,Python,2931,9744,134,52730
appwrite/appwrite,2019-04-08T16:36:25Z,2025-08-18T14:17:38Z,112,TypeScript,3831,3460,621,52324
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,2025-08-18T14:13:22Z,0,C,16,0,0,52312
rclone/rclone,2014-03-16T16:19:57Z,2025-08-18T00:16:46Z,114,Go,2110,4812,972,52127
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,2025-08-17T08:06:05Z,0,Rust,1568,132,10,52106
ionic-team/ionic-framework,2013-08-20T23:06:02Z,2025-08-18T14:15:37Z,913,TypeScript,6294,21480,573,51986
wagoodman/dive,2018-05-13T15:44:01Z,2025-08-12T01:52:42Z,28,Go,164,202,157,51733
mozilla/pdf.js,2011-04-26T06:32:03Z,2025-08-17T14:31:16Z,76,JavaScript,8087,9872,402,51610
facebookresearch/segment-anything,2023-03-23T17:03:03Z,2024-09-18T17:46:55Z,0,Jupyter Notebook,15,178,525,51564
vuejs/core,2018-06-12T13:49:36Z,2025-08-18T14:06:33Z,245,TypeScript,3206,5092,676,51332
sickcodes/Docker-OSX,2020-06-04T11:01:37Z,2025-06-06T10:08:10Z,0,Shell,107,281,386,51196
Semantic-Org/Semantic-UI,2013-04-08T23:32:04Z,2024-11-27T21:01:48Z,154,JavaScript,355,5268,967,51190
JetBrains/kotlin,2012-02-13T17:29:58Z,2025-08-18T14:23:46Z,265,Kotlin,2064,0,0,51119
unclecode/crawl4ai,2024-05-09T09:48:50Z,2025-08-18T06:22:54Z,8,Python,87,644,143,51118
google/guava,2014-05-29T16:23:17Z,2025-08-13T20:49:53Z,56,Java,1013,2991,628,51018
marktext/marktext,2017-11-12T16:05:25Z,2024-08-18T21:21:46Z,36,JavaScript,939,1637,1270,50938
laurent22/joplin,2017-01-16T21:49:41Z,2025-08-18T13:10:20Z,384,TypeScript,4383,6695,536,50856
prettier/prettier,2016-11-29T17:13:37Z,2025-08-17T14:23:49Z,127,JavaScript,8872,5736,1219,50844
starship/starship,2019-04-02T03:23:12Z,2025-08-18T02:29:13Z,135,Rust,2898,1772,737,50572
romkatv/powerlevel10k,2019-02-24T19:09:45Z,2025-04-29T13:00:59Z,33,Shell,167,2466,106,50548
jekyll/jekyll,2008-10-20T06:29:03Z,2025-07-11T12:07:19Z,112,Ruby,3188,4781,116,50477
xai-org/grok-1,2024-03-17T08:53:38Z,2024-08-30T04:17:25Z,0,Python,5,0,0,50406
TryGhost/Ghost,2013-05-04T11:09:13Z,2025-08-18T14:14:00Z,902,JavaScript,14250,7064,61,50311
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,2025-08-18T08:14:35Z,1,TypeScript,52095,7523,567,50210
go-gitea/gitea,2016-11-01T02:13:26Z,2025-08-18T00:40:59Z,216,Go,17764,12292,2584,50189
RVC-Boss/GPT-SoVITS,2024-01-14T18:05:21Z,2025-08-02T09:47:15Z,4,Python,338,1176,710,50122
WerWolv/ImHex,2020-11-10T14:27:00Z,2025-08-18T00:12:01Z,80,C++,670,1180,236,50117
OpenBB-finance/OpenBB,2020-12-20T10:46:38Z,2025-08-18T06:09:10Z,46,Python,4114,2194,50,50112
etcd-io/etcd,2013-07-06T21:57:21Z,2025-08-16T06:24:35Z,259,Go,9769,6816,180,50069
pocketbase/pocketbase,2022-07-05T06:06:21Z,2025-08-16T18:30:51Z,220,Go,53,1818,18,49944
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,2025-04-02T09:42:19Z,1,JavaScript,137,92,119,49931
jgthms/bulma,2016-01-23T23:48:34Z,2025-06-27T16:28:35Z,22,CSS,642,2395,328,49895
vsouza/awesome-ios,2014-07-10T16:03:45Z,2025-02-04T14:00:13Z,0,Swift,2233,486,2,49654
ethereum/go-ethereum,2013-12-26T13:05:46Z,2025-08-18T12:42:22Z,219,Go,8232,8276,204,49554
cline/cline,2024-07-06T07:28:10Z,2025-08-18T07:49:15Z,143,TypeScript,1608,1727,477,49392
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,2025-07-31T15:11:49Z,0,JavaScript,1300,0,0,49134
FoundationAgents/OpenManus,2025-03-06T14:08:14Z,2025-08-18T13:56:34Z,3,Python,106,312,393,49046
mendableai/firecrawl,2024-04-15T21:02:29Z,2025-08-18T14:02:08Z,22,TypeScript,805,522,148,48895
mastodon/mastodon,2016-02-22T15:01:25Z,2025-08-18T14:25:23Z,289,Ruby,17676,8221,4023,48881
agalwood/Motrix,2018-12-18T11:45:05Z,2024-07-11T12:09:20Z,21,JavaScript,192,593,746,48881
cypress-io/cypress,2015-03-04T00:46:28Z,2025-08-18T14:13:41Z,372,TypeScript,7329,13769,1288,48824
microsoft/autogen,2023-08-18T11:43:45Z,2025-08-11T16:13:21Z,95,Python,2485,2455,395,48808
NARKOZ/hacker-scripts,2015-11-21T19:05:09Z,2023-10-23T21:01:40Z,0,JavaScript,63,53,35,48643
Asabeneh/30-Days-Of-Python,2019-11-19T17:24:16Z,2025-06-04T21:49:56Z,0,Python,61,79,55,48584
AlistGo/alist,2020-12-23T17:40:29Z,2025-08-18T08:38:32Z,136,Go,858,3792,550,48315
ReactiveX/RxJava,2013-01-08T20:11:48Z,2025-08-13T06:05:49Z,241,Java,3325,3159,12,48245
PowerShell/PowerShell,2016-01-13T23:41:35Z,2025-08-15T20:10:46Z,186,C#,7543,11908,1105,48210
iamkun/dayjs,2018-04-10T09:26:44Z,2025-07-21T08:02:34Z,119,JavaScript,694,849,921,48141
dani-garcia/vaultwarden,2018-02-17T22:40:20Z,2025-08-14T16:05:54Z,73,Rust,992,2350,10,48089
moment/moment,2011-03-01T02:46:06Z,2024-08-14T17:12:19Z,0,JavaScript,714,3911,243,48087
Mintplex-Labs/anything-llm,2023-06-04T02:29:14Z,2025-08-15T21:46:54Z,20,JavaScript,1072,2485,255,48034
charlax/professional-programming,2015-11-07T05:07:52Z,2025-08-10T22:03:37Z,0,Python,39,29,0,47924
algorithm-visualizer/algorithm-visualizer,2016-05-15T00:27:45Z,2024-06-09T06:54:22Z,0,JavaScript,183,76,41,47638
JuliaLang/julia,2011-04-21T07:01:50Z,2025-08-18T13:48:26Z,181,Julia,25795,21368,3978,47506
minimaxir/big-list-of-naughty-strings,2015-08-08T20:57:20Z,2024-04-18T03:26:59Z,0,Python,90,32,69,47383
TapXWorld/ChinaTextbook,2020-01-05T04:11:06Z,2025-05-18T04:38:09Z,0,Roff,1,53,59,47366
huginn/huginn,2013-03-10T06:00:31Z,2025-08-18T10:59:12Z,1,Ruby,1043,1569,601,47075
nlohmann/json,2013-07-04T08:47:49Z,2025-08-13T07:29:31Z,45,C++,894,2297,40,46875
serverless/serverless,2015-04-21T03:48:40Z,2025-08-06T22:29:08Z,453,JavaScript,4717,5382,1133,46824
LadybirdBrowser/ladybird,2024-05-30T09:18:10Z,2025-08-18T11:43:29Z,0,C++,4199,628,496,46785
gogs/gogs,2014-02-12T01:57:08Z,2025-08-04T01:57:30Z,84,Go,1766,4223,934,46780
x64dbg/x64dbg,2015-04-11T20:48:23Z,2025-08-18T14:24:26Z,3,C++,743,2022,604,46703
square/okhttp,2012-07-23T13:42:55Z,2025-08-16T21:01:59Z,0,Kotlin,3760,4132,49,46598
typescript-cheatsheets/react,2018-06-02T04:08:16Z,2025-05-22T10:24:51Z,0,JavaScript,369,219,2,46544
pandas-dev/pandas,2010-08-24T01:37:33Z,2025-08-15T18:59:11Z,111,Python,26906,24073,3584,46327
TanStack/query,2019-09-10T19:23:58Z,2025-08-18T14:13:53Z,1000,TypeScript,2887,2100,64,46304
v2ray/v2ray-core,2015-09-04T11:42:53Z,2025-08-12T11:15:43Z,247,Go,203,2583,7,46289
type-challenges/type-challenges,2020-07-23T14:33:11Z,2025-07-07T12:00:24Z,0,TypeScript,588,3832,32387,46276
hashicorp/terraform,2014-03-13T22:25:48Z,2025-08-18T14:12:49Z,377,Go,12779,19669,1735,46178
lllyasviel/Fooocus,2023-08-09T18:43:40Z,2025-01-24T10:55:35Z,21,Python,447,1399,212,46027
slab/quill,2012-07-30T23:23:18Z,2025-07-25T06:09:23Z,95,TypeScript,381,3267,507,45945
lyswhut/lx-music-desktop,2019-08-14T14:31:08Z,2025-08-10T05:53:17Z,110,TypeScript,86,1236,953,45768
bigskysoftware/htmx,2020-04-13T16:17:51Z,2025-08-02T14:24:24Z,26,JavaScript,956,1005,565,45699
jesseduffield/lazydocker,2019-05-18T08:53:50Z,2024-12-22T10:43:30Z,42,Go,186,190,171,45662
pixijs/pixijs,2013-01-21T22:40:50Z,2025-08-05T09:05:55Z,293,TypeScript,3666,5736,245,45568
android/architecture-samples,2016-02-05T13:42:07Z,2025-08-15T01:39:27Z,0,Kotlin,232,348,138,45240
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,2024-06-26T19:17:33Z,0,Jupyter Notebook,28,78,125,45233
skylot/jadx,2013-03-18T17:08:21Z,2025-08-12T08:52:56Z,31,Java,577,1527,388,45130
odoo/odoo,2014-05-13T15:38:58Z,2025-08-18T13:59:38Z,0,Python,6181,15104,3286,45076
jestjs/jest,2013-12-10T00:18:04Z,2025-07-27T02:20:19Z,208,TypeScript,5701,7861,254,44969
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,2025-02-11T09:46:11Z,0,JavaScript,98,59,115,44951
typst/typst,2019-09-24T21:41:56Z,2025-08-18T07:45:46Z,22,Rust,1816,2566,900,44926
ColorlibHQ/AdminLTE,2013-12-25T02:52:40Z,2025-08-16T06:49:20Z,77,CSS,1545,2746,141,44922
dbeaver/dbeaver,2015-10-21T08:26:28Z,2025-08-18T14:22:19Z,230,Java,6077,16304,3031,44860
discourse/discourse,2013-01-12T00:25:55Z,2025-08-18T14:14:01Z,0,Ruby,29979,0,0,44830
oobabooga/text-generation-webui,2022-12-21T04:17:37Z,2025-08-18T13:00:02Z,79,Python,1182,1427,2572,44727
meteor/meteor,2012-01-19T01:58:17Z,2025-08-18T14:22:04Z,0,JavaScript,2531,8946,258,44680
Homebrew/brew,2016-03-06T05:08:38Z,2025-08-18T14:25:08Z,441,Ruby,12961,4766,23,44556
ultralytics/ultralytics,2022-09-11T16:39:45Z,2025-08-18T14:21:41Z,254,Python,3492,11388,250,44508
google/zx,2021-05-05T05:50:01Z,2025-08-18T11:32:40Z,95,JavaScript,545,476,13,44473
coollabsio/coolify,2021-01-25T20:54:01Z,2025-08-18T12:54:13Z,619,PHP,1642,2229,557,44344
unslothai/unsloth,2023-11-29T16:50:09Z,2025-08-18T13:24:33Z,16,Python,477,1724,709,44261
termux/termux-app,2015-10-23T09:42:46Z,2025-08-12T01:49:34Z,95,Java,162,2519,404,44236
vercel/hyper,2016-07-01T06:01:21Z,2024-08-14T03:32:57Z,88,TypeScript,3291,2872,942,44181
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,2025-07-27T13:54:28Z,4,CSS,812,964,247,44077
2dust/v2rayNG,2019-05-15T02:15:31Z,2025-08-17T03:16:11Z,256,Kotlin,498,3405,9,43950
parcel-bundler/parcel,2017-08-07T16:36:47Z,2025-08-08T02:48:38Z,48,JavaScript,2591,5009,477,43927
astaxie/build-web-application-with-golang,2012-08-02T11:49:35Z,2024-05-12T00:47:46Z,0,Go,757,183,121,43755
run-llama/llama_index,2022-11-02T04:24:54Z,2025-08-18T13:57:04Z,404,Python,6999,6377,227,43755
acmesh-official/acme.sh,2015-12-26T12:56:33Z,2025-08-15T16:18:04Z,44,Shell,1421,2238,1076,43701
babel/babel,2014-09-28T13:38:23Z,2025-08-15T21:11:04Z,442,TypeScript,6282,8401,596,43692
aymericdamien/TensorFlow-Examples,2015-11-11T14:21:19Z,2024-07-26T19:46:13Z,0,Jupyter Notebook,88,70,167,43688
usememos/memos,2021-12-08T15:30:18Z,2025-08-18T14:13:58Z,80,Go,1795,2434,24,43687
karpathy/nanoGPT,2022-12-28T00:51:12Z,2024-12-09T23:53:04Z,0,Python,45,109,227,43686
square/retrofit,2010-09-06T21:39:43Z,2025-08-16T13:30:43Z,4,HTML,1182,2621,127,43675
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,2025-08-08T23:56:05Z,585,TypeScript,2070,4761,72,43668
jeecgboot/JeecgBoot,2018-11-26T10:40:00Z,2025-08-18T08:23:25Z,61,Java,122,7536,19,43641
microsoft/monaco-editor,2016-06-07T16:56:31Z,2025-08-15T22:22:30Z,91,JavaScript,467,3153,679,43638
FuelLabs/fuels-rs,2021-10-31T22:33:54Z,2025-08-18T11:37:22Z,117,Rust,897,609,49,43637
FuelLabs/fuels-ts,2021-09-03T18:11:03Z,2025-08-17T19:28:01Z,154,TypeScript,1969,1398,58,43624
prisma/prisma,2019-06-20T13:33:47Z,2025-08-18T13:59:09Z,223,TypeScript,6330,9043,2304,43527
grpc/grpc,2014-12-08T18:58:53Z,2025-08-18T14:22:05Z,355,C++,19994,11117,675,43517
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,2024-08-24T21:07:02Z,0,JavaScript,169,59,37,43458
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,2025-07-21T11:09:55Z,0,MDX,345,91,10,43435
streamich/react-use,2018-10-27T10:16:05Z,2025-08-13T03:16:10Z,256,TypeScript,1532,244,353,43425
Leaflet/Leaflet,2010-09-22T16:57:44Z,2025-08-17T18:17:57Z,33,JavaScript,3115,4883,394,43421
metabase/metabase,2015-02-02T19:25:47Z,2025-08-18T14:26:46Z,676,Clojure,33881,19422,3602,43299
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,2025-08-18T14:26:10Z,1000,TypeScript,14440,13773,2579,43222
pyenv/pyenv,2012-08-31T06:57:52Z,2025-08-16T17:17:53Z,132,Roff,974,1805,53,42920
GitSquared/edex-ui,2017-01-28T09:35:02Z,2021-10-19T22:38:47Z,29,JavaScript,399,553,6,42909
sudheerj/reactjs-interview-questions,2018-05-31T17:17:01Z,2025-07-31T09:44:57Z,0,JavaScript,162,107,3,42786
FlowiseAI/Flowise,2023-03-31T12:23:09Z,2025-08-18T14:09:39Z,73,TypeScript,1328,1629,604,42755
jellyfin/jellyfin,2018-12-09T06:36:45Z,2025-08-16T00:52:43Z,91,C#,4815,6877,387,42729
expo/expo,2016-08-15T17:14:25Z,2025-08-18T13:56:17Z,0,TypeScript,17848,16514,429,42479
Unitech/pm2,2013-05-21T03:25:25Z,2025-06-05T09:16:23Z,128,JavaScript,551,4078,1001,42469
coreybutler/nvm-windows,2014-09-20T16:37:28Z,2025-03-31T10:37:07Z,23,Go,107,847,79,42440
ggml-org/whisper.cpp,2022-09-25T18:26:37Z,2025-08-15T12:54:23Z,27,C++,862,830,915,42432
ClickHouse/ClickHouse,2016-06-02T08:28:18Z,2025-08-18T14:28:40Z,672,C++,50278,20512,4428,42405
coqui-ai/TTS,2020-05-20T15:45:28Z,2024-08-16T12:07:14Z,98,Python,465,1185,4,42107
opendatalab/MinerU,2024-02-29T08:52:34Z,2025-08-18T11:30:13Z,121,Python,1024,1540,131,42100
Alamofire/Alamofire,2014-07-31T05:56:19Z,2025-05-14T03:37:18Z,102,Swift,650,2757,42,42056
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2024-08-18T04:34:15Z,0,Jupyter Notebook,147,58,16,42031
faif/python-patterns,2012-06-06T21:02:35Z,2025-07-19T00:16:40Z,0,Python,273,83,10,41954
Light-City/CPlusPlusThings,2019-07-14T08:45:45Z,2024-06-14T01:58:36Z,0,C++,72,218,10,41830
getsentry/sentry,2010-08-30T22:06:41Z,2025-08-18T13:07:48Z,154,Python,72685,13582,2137,41753
astral-sh/ruff,2022-08-09T17:17:44Z,2025-08-18T13:49:32Z,375,Rust,11132,5614,1498,41720
apache/spark,2014-02-25T08:00:08Z,2025-08-18T13:22:57Z,0,Scala,8,0,0,41678
apache/airflow,2015-04-13T18:04:58Z,2025-08-18T14:20:22Z,102,Python,29204,11116,1285,41613
iina/iina,2016-12-19T07:18:45Z,2025-08-16T21:50:55Z,45,Swift,851,2427,1757,41584
Stability-AI/stablediffusion,2022-11-23T23:59:50Z,2025-06-25T14:18:37Z,0,Python,17,76,248,41573
Kong/kong,2014-11-17T23:56:08Z,2025-08-18T10:47:38Z,145,Lua,6478,4485,72,41557
yarnpkg/yarn,2016-01-19T17:39:16Z,2025-08-17T18:09:24Z,152,JavaScript,1654,4731,1875,41551
NaiboWang/EasySpider,2020-07-18T02:41:27Z,2025-07-31T07:56:57Z,10,JavaScript,40,485,224,41519
spf13/cobra,2013-09-03T20:40:26Z,2025-08-11T13:58:23Z,24,Go,614,986,225,41468
freqtrade/freqtrade,2017-05-17T23:48:53Z,2025-08-18T07:02:06Z,100,Python,5892,5301,27,41459
mingrammer/diagrams,2020-02-02T15:23:24Z,2025-08-16T08:26:51Z,44,Python,327,222,310,41335
tldraw/tldraw,2021-05-09T11:48:37Z,2025-08-18T14:14:51Z,79,TypeScript,3544,1514,221,41331
nolimits4web/swiper,2012-03-14T19:11:45Z,2025-08-13T22:34:49Z,87,JavaScript,604,5537,214,41320
apachecn/ailearning,2017-02-25T08:53:02Z,2024-11-12T16:21:55Z,2,Python,478,112,3,41271
apache/dubbo,2012-06-19T07:56:02Z,2025-08-18T10:47:39Z,111,Java,5785,6472,801,41229
bailicangdu/vue2-elm,2016-12-23T01:49:20Z,2025-04-11T12:52:02Z,0,Vue,21,512,118,41148
zai-org/ChatGLM-6B,2023-03-13T12:00:18Z,2024-06-27T04:05:25Z,0,Python,48,751,557,41111
hpcaitech/ColossalAI,2021-10-28T16:19:44Z,2025-08-18T09:10:00Z,50,Python,3699,1298,427,41091
bevyengine/bevy,2020-01-18T21:13:55Z,2025-08-18T09:28:03Z,43,Rust,6166,4812,2377,41091
tw93/Pake,2022-10-14T09:32:57Z,2025-08-16T16:16:42Z,31,Rust,100,352,47,41079
dcloudio/uni-app,2018-07-12T08:52:39Z,2025-08-18T11:48:07Z,0,JavaScript,457,4229,688,41044
nwjs/nw.js,2012-01-04T06:21:10Z,2025-08-17T15:08:12Z,0,JavaScript,575,6476,920,41018
KRTirtho/spotube,2021-02-14T03:17:58Z,2025-08-18T14:13:57Z,40,Dart,246,1082,781,41004
AykutSarac/jsoncrack.com,2022-01-30T15:25:18Z,2025-07-31T15:36:30Z,22,TypeScript,85,234,32,40975
streamlit/streamlit,2019-08-24T00:14:52Z,2025-08-18T13:34:00Z,105,Python,5641,4269,1114,40965
styled-components/styled-components,2016-08-16T06:41:32Z,2025-06-18T19:28:46Z,176,TypeScript,966,2651,302,40875
docker/awesome-compose,2020-02-13T08:51:42Z,2025-07-22T05:26:19Z,0,HTML,149,40,87,40847
psf/black,2018-03-14T19:54:45Z,2025-08-18T13:52:49Z,46,Python,1584,2392,330,40811
vuetifyjs/vuetify,2016-09-12T00:39:35Z,2025-08-18T08:47:37Z,605,TypeScript,4387,14392,501,40672
hexojs/hexo,2012-09-23T15:17:08Z,2025-08-16T00:51:53Z,114,TypeScript,945,3912,73,40659
ziglang/zig,2015-08-06T00:51:28Z,2025-08-18T02:17:02Z,20,Zig,9160,9684,3386,40561
zhongyang219/TrafficMonitor,2017-07-30T02:51:17Z,2025-07-31T09:36:00Z,26,C++,63,712,1171,40522
fastlane/fastlane,2014-12-02T17:00:38Z,2025-08-07T21:19:55Z,552,Ruby,6234,12500,683,40412
cli/cli,2019-10-03T15:24:53Z,2025-08-15T20:58:21Z,173,Go,2599,4292,835,40303
bannedbook/fanqiang,2015-01-14T00:34:25Z,2025-07-31T11:59:11Z,3,Kotlin,3,466,328,40279
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,2025-08-08T06:08:30Z,76,Python,2628,3226,333,40185
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,2023-11-28T03:26:23Z,0,Shell,28,33,44,39965
tabler/tabler,2018-02-01T09:08:59Z,2025-07-30T19:48:00Z,51,HTML,722,1004,85,39951
chubin/cheat.sh,2017-05-07T21:40:56Z,2025-08-08T05:15:06Z,0,Python,129,133,124,39911
deepspeedai/DeepSpeed,2020-01-23T18:35:18Z,2025-08-16T18:22:19Z,97,Python,2741,2081,1091,39777
microsoft/AI-For-Beginners,2021-03-03T16:27:36Z,2025-08-07T11:59:26Z,0,Jupyter Notebook,168,106,28,39660
penpot/penpot,2015-12-29T22:09:07Z,2025-08-18T14:29:21Z,59,Clojure,4494,1428,488,39633
colinhacks/zod,2020-03-07T20:59:08Z,2025-08-13T05:11:56Z,179,TypeScript,833,2496,198,39562
bradtraversy/50projects50days,2020-11-16T14:39:01Z,2025-02-26T13:49:39Z,0,CSS,44,0,0,39555
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,2025-08-18T09:24:32Z,1000,TypeScript,2807,4145,1,39548
gradio-app/gradio,2018-12-19T08:24:04Z,2025-08-18T14:30:28Z,1000,Python,4731,5487,434,39506
helix-editor/helix,2020-06-01T04:26:56Z,2025-08-18T13:29:06Z,30,Rust,4244,4536,839,39450
